Content ID,Type,Datetime,Sentiment,Score,Content Type,Category,URL
9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25 17:01:58,negative,10,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13 00:11:50,positive,45,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 18:17:06,neutral,35,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11 04:53:56,negative,15,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-03-08 10:40:53,negative,5,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:26,negative,0,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-05-25 01:00:28,negative,5,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-15 12:17:43,positive,50,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2021-05-05 16:26:43,positive,65,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16 03:02:28,positive,60,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,2020-07-07 10:52:30,neutral,20,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 07:59:11,neutral,35,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-09-23 11:15:19,positive,65,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-24 05:56:19,positive,50,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-12-07 19:13:23,negative,5,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2020-08-03 16:41:04,positive,75,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2021-01-10 15:36:01,positive,72,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-09-20 08:48:13,negative,15,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,2020-07-20 14:06:31,positive,70,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-24 12:15:34,positive,72,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-06 01:27:19,positive,30,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-12-25 00:09:41,positive,60,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-14 07:56:56,positive,50,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-11-18 23:37:37,negative,5,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-05-09 02:42:43,positive,30,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-05-11 08:38:47,negative,10,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,2020-11-12 08:00:05,neutral,35,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-06-21 16:57:09,positive,60,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2021-03-04 23:58:54,positive,75,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-07-09 16:47:07,positive,70,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-08-01 19:16:01,negative,5,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2020-11-23 22:46:17,negative,10,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-04-23 23:41:18,negative,10,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-11-13 00:33:42,positive,70,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-09 10:13:56,positive,30,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,love,2020-10-29 19:41:49,positive,65,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2021-05-14 12:47:27,positive,60,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04 05:40:33,negative,0,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-08-07 04:09:29,positive,72,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-23 21:19:27,positive,72,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-11-14 23:53:51,positive,72,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2020-11-12 04:54:46,positive,30,photo,healthy eating,https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f
e6ee2244-9382-49a9-8cbf-fa54aaaa2392,intrigued,2021-03-03 18:40:34,positive,45,audio,travel,https://socialbuzz.cdn.com/content/storage/e6ee2244-9382-49a9-8cbf-fa54aaaa2392
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,super love,2020-12-27 17:21:20,positive,75,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,worried,2021-05-21 11:57:48,negative,12,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,heart,2021-02-24 18:34:14,positive,60,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,like,2021-06-14 17:44:08,positive,50,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,heart,2020-10-20 15:14:45,positive,60,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,want,2020-12-09 20:38:52,positive,70,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,indifferent,2021-02-01 11:27:07,neutral,20,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,love,2020-12-06 06:38:03,positive,65,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,peeking,2020-08-28 15:56:32,neutral,35,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,peeking,2020-12-06 22:28:47,neutral,35,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,love,2020-12-14 10:46:25,positive,65,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,2020-09-11 20:55:52,negative,0,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,2020-07-26 11:28:58,negative,0,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,adore,2020-09-27 17:24:03,positive,72,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,want,2020-11-04 17:10:19,positive,70,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,super love,2020-12-18 06:02:22,positive,75,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,intrigued,2020-12-20 05:16:22,positive,45,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,adore,2021-04-03 17:52:18,positive,72,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,love,2021-04-19 01:27:06,positive,65,photo,travel,https://socialbuzz.cdn.com/content/storage/bda0b065-7f8b-4d52-b7e9-fcc375cdab08
34a3747a-0b77-42f6-ae19-87c38b94b674,interested,2021-04-03 09:24:27,positive,30,GIF,science,https://socialbuzz.cdn.com/content/storage/34a3747a-0b77-42f6-ae19-87c38b94b674
34a3747a-0b77-42f6-ae19-87c38b94b674,worried,2021-03-19 19:32:51,negative,12,GIF,science,https://socialbuzz.cdn.com/content/storage/34a3747a-0b77-42f6-ae19-87c38b94b674
34a3747a-0b77-42f6-ae19-87c38b94b674,love,2021-05-18 07:58:39,positive,65,GIF,science,https://socialbuzz.cdn.com/content/storage/34a3747a-0b77-42f6-ae19-87c38b94b674
34a3747a-0b77-42f6-ae19-87c38b94b674,cherish,2021-03-14 07:11:05,positive,70,GIF,science,https://socialbuzz.cdn.com/content/storage/34a3747a-0b77-42f6-ae19-87c38b94b674
